Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula;Location;Address
"439607989;4473548993;28-05-14;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;1;301110056;439607,989:4473548,993; CALLE  DE LAS AGUAS,1"
"4395429897;4473439356;28-05-14;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;15;301110063;439542,9897:4473439,356; CALLE  DEL AGUILA,15"
"4397554202;4473791384;27-05-14;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;13;301110042;439755,4202:4473791,384; CALLE  DEL ALMENDRO,13"
"4397244731;4474317372;26-05-14;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;6;301110014;439724,4731:4474317,372; CALLE  DE LA AMNISTIA,6"
"4399236811;4474528889;26-05-14;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;11;301110012;439923,6811:4474528,889; COSTANILLA  DE LOS ANGELES,11"
"4397352317;4474489959;26-05-14;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;8;301110010;439735,2317:4474489,959; CALLE  DE ARRIETA,8"
"439343307;4473875826;27-05-14;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;2;301110031;439343,307:4473875,826; CALLE  DE BEATRIZ GALINDO,2"
"4392324395;4473811933;27-05-14;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;3;301110032;439232,4395:4473811,933; CALLE  DE BEATRIZ GALINDO,3"
"4394814057;4473477409;28-05-14;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;301110046;439481,4057:4473477,409; CALLE  DE CALATRAVA,37"
"4398339635;4474515843;26-05-14;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;8;301110011;439833,9635:4474515,843; CALLE  DE CAMPOMANES,8"
"4398853223;4473783409;27-05-14;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;6;301110041;439885,3223:4473783,409; CALLE  DE LA CAVA ALTA,6"
"4397743871;4473741,8;27-05-14;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;34;301110045;439774,3871:4473741,8; CALLE  DE LA CAVA BAJA,34"
"4397818785;4473598,55;28-05-14;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;301110058;439781,8785:4473598,55; CALLE  DE LA CEBADA,1"
"439834739;4473661909;27-05-14;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;301110049;439834,739:4473661,909; PLAZA  DE LA CEBADA,3"
"4398195452;4473647634;27-05-14;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;301110048;439819,5452:4473647,634; PLAZA  DE LA CEBADA,5"
